77	122	2
77	61	2
77	2	2
77	55	1
68	73	1
68	87	0
68	123	1
68	7	0
68	74	1
67	119	2
67	95	1
67	7	1
67	74	1
67	73	0
67	107	1
103	119	1
103	7	0
103	74	1
103	5	2
103	4	1
103	73	1
103	123	1
103	95	2
107	110	2
107	119	2
107	95	2
44	116	2
44	125	1
70	42	2
70	9	1
70	5	1
31	123	0
31	77	0
31	20	0
82	74	1
23	97	0
23	84	0
82	5	0
82	112	0
82	42	0
82	9	0
82	123	0
82	107	0
60	44	2
60	84	2
60	95	2
60	87	1
15	80	0
123	95	1
123	42	1
123	73	2
123	119	1
123	4	1
123	87	1
123	5	1
123	112	1
21	87	2
26	124	2
21	20	2
21	97	2
44	92	0
83	54	2
83	63	1
83	43	2
108	109	2
108	93	1
108	58	2
108	121	1
108	122	1
108	120	2
108	15	1
108	63	2
108	43	1
108	117	1
12	49	1
12	23	2
12	101	2
93	129	2
93	101	2
93	49	2
93	108	2
93	1	2
30	59	2
93	25	2
30	113	2
12	113	2
12	59	2
30	116	1
93	99	2
30	72	0
93	68	1
30	99	0
30	129	0
30	128	0
30	101	0
66	68	1
66	1	1
127	32	2
127	65	2
127	92	2
127	101	2
17	27	1
66	129	2
17	32	2
17	23	0
66	99	1
100	65	2
100	101	2
66	25	1
100	52	2
100	49	2
100	27	2
100	108	2
133	23	1
133	113	2
133	115	1
133	99	0
133	65	2
133	49	2
133	32	1
133	39	1
133	129	1
118	92	0
72	72	1
72	89	2
72	116	0
26	28	1
26	90	0
26	104	0
26	77	2
23	87	0
23	95	2
80	20	1
80	110	2
80	95	1
80	42	2
63	110	2
63	119	2
63	9	1
63	73	1
63	4	1
80	44	1
80	97	1
82	7	0
82	95	0
74	68	2
74	92	2
74	108	2
117	59	1
117	115	0
117	116	1
117	72	2
117	89	1
117	52	1
118	125	0
118	27	0
118	65	2
118	23	0
118	49	0
118	39	0
20	116	1
20	27	2
20	101	1
20	128	2
51	116	1
51	128	1
51	27	1
55	64	1
55	109	2
55	93	2
55	121	2
55	35	2
83	93	2
83	105	0
55	3	2
83	127	1
83	58	2
83	102	2
83	78	1
55	83	2
55	75	2
55	118	2
55	2	2
53	14	1
53	120	2
53	2	1
53	50	2
35	59	1
35	89	2
53	26	2
53	33	2
53	118	1
35	125	1
53	62	2
53	35	2
53	61	2
53	55	2
53	114	2
53	75	2
64	26	1
81	12	1
64	37	1
81	14	1
81	103	0
64	12	0
81	100	0
64	55	1
64	66	2
81	2	1
81	120	0
81	121	1
81	122	1
81	66	0
81	36	1
81	98	0
1	88	1
1	2	2
14	14	1
88	88	0
88	57	2
14	12	1
14	34	2
88	37	1
14	62	2
14	37	1
14	10	2
88	41	2
88	12	1
88	11	2
14	103	1
14	26	1
88	80	0
88	31	2
88	10	2
14	53	2
88	120	2
88	62	1
88	64	2
14	88	2
14	11	0
56	53	2
56	34	0
56	14	2
56	62	2
56	114	2
56	98	2
56	122	2
56	66	2
56	2	2
56	64	2
134	75	1
134	70	0
134	78	1
134	2	1
134	48	2
134	13	2
134	43	2
134	122	2
134	38	1
134	56	2
134	118	2
134	93	0
134	109	2
134	51	1
134	60	2
134	58	2
106	41	1
126	12	0
106	120	0
126	37	2
126	88	0
106	121	2
126	6	0
126	3	2
126	66	2
126	41	2
126	61	1
126	31	1
126	57	2
44	113	2
124	31	1
44	27	2
124	57	1
124	120	1
124	80	1
124	10	1
124	12	1
124	62	1
124	37	1
124	100	1
124	34	0
18	103	0
125	103	1
125	62	0
125	14	1
18	11	2
125	34	2
125	53	1
125	120	1
119	113	2
119	65	0
119	49	2
125	26	1
119	125	2
125	50	1
119	27	2
125	55	1
125	61	2
125	114	1
18	62	1
18	37	1
18	53	1
18	120	1
18	114	0
18	35	1
18	12	0
18	57	1
76	100	2
76	61	1
76	98	0
76	26	2
22	6	0
76	106	2
22	21	1
22	35	0
22	120	1
22	37	2
22	55	1
22	66	2
22	61	2
22	62	0
22	29	2
22	64	2
22	106	2
22	114	1
22	50	2
94	31	0
94	11	0
94	37	0
94	80	0
94	88	0
94	10	0
94	57	0
94	12	0
116	75	2
116	55	0
116	61	2
116	122	2
116	66	2
116	35	2
116	48	0
116	98	0
116	2	2
116	36	1
116	81	2
105	37	0
105	12	0
105	88	0
105	6	0
105	21	0
105	31	0
105	100	0
105	66	0
75	62	1
75	53	2
75	34	2
7	57	1
75	14	2
7	37	1
75	120	1
75	81	1
75	37	2
75	88	1
75	114	1
75	100	2
75	64	1
75	41	1
115	37	2
115	11	2
115	31	0
115	57	1
115	12	1
115	88	2
115	10	1
115	80	2
72	52	0
24	81	1
24	3	1
24	26	1
24	2	1
24	55	1
24	120	2
24	100	2
24	29	2
24	98	1
24	106	1
24	64	1
24	41	1
24	61	1
24	121	1
24	36	1
132	61	1
132	2	2
132	122	2
132	114	2
132	35	1
132	66	2
132	121	2
132	120	1
132	64	1
132	98	2
5	34	1
5	14	2
5	88	1
