1	2	2
1	6	1
1	21	1
1	29	1
1	35	2
1	64	1
1	88	1
1	100	1
2	2	2
2	3	1
2	22	2
2	41	2
2	46	1
2	48	1
2	66	1
2	111	2
2	114	1
3	2	2
3	18	2
3	22	1
3	38	2
3	48	2
3	51	2
3	60	0
3	63	2
3	96	2
3	102	2
3	109	2
3	118	2
4	3	2
4	40	2
4	47	2
4	55	1
4	114	2
4	120	2
4	121	2
5	14	2
5	26	2
5	34	1
5	41	1
5	53	2
5	88	1
5	103	0
5	120	2
6	2	1
6	8	2
6	36	1
6	38	1
6	40	1
6	70	2
6	71	2
6	83	1
6	93	1
6	109	1
7	35	1
7	37	1
7	57	1
7	61	1
7	93	1
7	117	1
7	120	1
7	122	1
8	12	1
8	17	2
8	31	1
8	45	1
8	57	1
8	69	1
8	82	1
8	126	1
9	2	1
9	38	1
9	48	2
9	50	0
9	55	1
9	61	2
9	66	2
9	81	2
9	117	1
9	118	1
10	13	1
10	14	1
10	26	2
10	33	1
10	38	0
10	75	1
10	117	1
11	44	1
11	84	2
12	23	2
12	59	2
12	101	2
12	113	2
13	8	2
13	14	1
13	38	1
13	55	1
13	76	2
13	93	1
13	111	2
13	122	1
13	127	2
14	10	2
14	11	0
14	12	1
14	14	1
14	26	1
14	34	2
14	37	1
14	53	2
14	62	2
14	103	1
15	16	0
15	24	1
15	31	1
15	45	2
15	67	1
15	80	0
15	130	1
16	3	2
16	19	2
16	22	2
16	26	1
16	29	2
16	53	2
16	55	2
16	64	2
16	66	2
16	81	2
16	120	2
16	122	2
17	27	1
17	32	2
18	11	2
18	35	1
18	37	1
18	53	1
18	57	1
18	62	1
18	103	0
18	114	0
18	120	1
19	14	0
19	15	0
19	19	0
19	38	0
19	61	0
19	81	0
19	111	0
19	114	0
20	27	2
20	116	1
20	128	2
21	20	2
21	97	2
22	6	0
22	21	1
22	29	2
22	35	0
22	37	2
22	50	2
22	55	1
22	62	0
22	64	2
22	66	2
22	106	2
22	114	1
22	120	1
23	87	0
23	95	2
23	97	0
24	2	1
24	3	1
24	26	1
24	36	1
24	41	1
24	55	1
24	61	1
24	64	1
24	81	1
24	98	1
24	100	2
24	106	1
24	120	2
24	121	1
25	2	0
25	30	2
25	60	2
25	75	1
25	82	2
25	88	2
25	94	1
25	121	2
25	126	2
25	130	1
26	28	1
26	77	2
26	104	0
26	124	2
27	8	1
27	18	1
27	26	1
27	53	0
27	66	1
27	76	1
27	91	1
27	111	1
27	114	1
27	122	1
28	5	2
28	73	0
28	74	2
28	87	1
28	95	1
28	123	0
29	18	1
29	22	1
29	48	2
29	75	1
29	81	0
29	96	1
29	111	1
29	118	0
29	122	1
30	59	2
30	72	0
30	99	0
30	113	2
30	116	1
30	128	0
30	129	0
31	77	0
31	123	0
32	19	1
32	26	0
32	55	1
32	61	1
32	81	1
32	91	1
32	117	2
32	120	0
32	122	1
33	13	1
33	29	2
33	36	2
33	43	2
33	61	1
33	76	2
33	109	2
33	111	2
33	121	2
33	122	2
34	15	1
34	63	1
34	71	0
34	79	1
34	105	0
35	52	2
35	59	1
35	89	2
35	113	2
35	125	1
36	2	2
36	13	0
